abandon,"vt.放弃,遗弃;n.放任,狂热"
cigarette,"n.香烟,纸烟"
circuit,"n.电路,一圈,周游,巡回"
circular,"adj.圆形的,循环的;n.函件,通知"
circulate,"v.(使)流通,(使)运行,(使)循环,(使)传播"
circumstance,"n.环境,详情,境况"
cite,"vt.引用,引证,提名表扬"
civil,"adj.全民的,市民的,公民的,国民的,民间的.民事的,根据民法的,文职的,有礼貌的"
civilian,"n.平民,公务员,文官;adj.民间的,民用的"
civilization,"n.文明,文化,文明社会,文明,一个著名游戏的名称"
civilize,"vt.使开化,使文明,教化"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西;vt.(根据权利)要求,认领,声称,主张,需要"
clap,"n.拍手声,霹雳声;v.鼓掌,轻拍"
clarify,"v.澄清,阐明"
clash,"n.冲突,撞击声,抵触;v.(使)发出撞击声,猛撞,冲突"
classic,"n.杰作,名著;adj.第一流的"
classical,"adj.古典的,正统派的,古典文学的"
classification,"n.分类,分级"
classify,"vt.分类,分等"
clause,"n.子句,条款"
claw,"n.爪,脚爪;v.抓"
clay,"n.粘土,泥土,肉体,人体,似黏土的东西,陶土制的烟斗"
crawl,"vi.爬行,蠕动,徐徐行进;n.爬行,蠕动,缓慢的行进"
create,"vt.创造,创作,引起,造成"
creative,adj.创造性的
creature,"n.人,动物,傀儡,创造物"
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款:vt.相信,信任,把...归给"
creep,"vi.爬,蹑手蹑脚,蔓延"
crew,"n.全体人员,(工作)队;vbl.crow的过去式"
crime,"n.犯罪,犯罪行为,罪行,罪恶"
criminal,"n.罪犯,犯罪者;adj.犯罪的,犯法的,罪恶的"
crisis,"n.疾病的转折点(或转好或恶化),决定性时刻,危机,危险期,历史上的紧要关头,[医]危象,转换期"
critic,"n.批评家,评论家,吹毛求疵者"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
criticism,"n.批评,批判"
criticize,"v.批评,责备"
crossing,"v.横越;n.横越,交叉口"
crowd,"n.人群,群众,一堆(东西),一伙;v.群集,拥挤,挤满"
crown,"n.王冠,花冠,顶;vt.加冕,顶上有,表彰,使圆满完成"
crucial,adj.至关紧要的
crude,"adj.天然的,未加工的,粗糙的,拙劣的,粗鲁的;n.天然的物质"
cruise,"vi.巡游,巡航;n.巡游,巡航"
crush,"vt.压碎,碾碎,压服,压垮,粉碎,(使)变形"
crust,"n.外壳,硬壳,面包皮;vt.盖以硬皮;vi.结硬皮"
crystal,"adj.结晶状的;n.水晶,水晶饰品,结晶,晶体"
cube,"n.立方体,立方"
cue,"n.暗示,提示,球杆"
cultivate,"vt.培养,耕作"
culture,"n.文化,文明"
cupboard,"n.食橱,碗碟橱"
curiosity,n.好奇心
curious,"adj.好奇的,求知的,古怪的,爱挑剔的"
curl,v.(使)卷曲
currency,n.流通
current,"adj.当前的,通用的,流通的,现在的,草写的,最近的;n.涌流,趋势,电流,水流,气流"
curriculum,n.课程
curse,"n.诅咒,咒语,祸根,祸因;vt.诅咒,咒骂,降祸,使受罪"
curtain,"n.窗帘,门帘;v.装上门帘"
curve,"n.曲线,弯曲,[棒球]曲线球,[统]曲线图表;vt.弯,使弯曲;vi.成曲形"
cushion,"n.垫子,软垫,衬垫;v.加衬垫"
cycle,"n.周期,循环,自行车,一段时间,整套,(电学)周波;vi.循环,轮转,骑自行车;vt.使循环,使轮转"
dairy,"n.牛奶场,奶品场,售牛奶,奶油,鸡蛋等的商店,奶制品"
dam,"n.水坝,障碍;v.控制,筑坝"
damn,v.谴责
damp,"n.湿气;adj.潮湿的;vt.使潮湿,阻尼,使衰减,使沮丧,控制,抑止"
dash,"n.少量(搀加物),冲撞,破折号,锐气,精力,干劲;vi.猛掷,冲撞;vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成"
data,"n.datum的复数,[计]资料,数据"
daylight,"n.日光,白昼,白天"
deadline,n.最终期限
deaf,adj.聋的
debate,"v.争论,辩论;n.争论,辩论"
debt,"n.债务,罪过"
decade,"n.十年,十"
decay,"vi.腐朽,腐烂,衰减,衰退;n.腐朽,腐烂,衰减,衰退;v.衰落"
deceive,"v.欺骗,行骗"
decent,"adj.正派的,端庄的,有分寸的,(服装)得体的,大方的;adj.<口>相当好的、象样的"
deck,"n.甲板,舰板,覆盖物,一副(纸牌);vt.装饰,修饰,打扮,装甲板"
declaration,"n.宣布,宣言,声明"
decline,"vi.下倾,下降,下垂;v.拒绝,衰落;n.下倾,下降,下垂,斜面,斜坡,衰败,衰落"
decorate,"v.装饰,为...做室内装修"
decrease,"n.减少,减少之量;v.减少"
defeat,"n.击败,战胜,失败;vt.击败,战胜,使失败,挫折;v.击败"
defect,"n.过失,缺点"
define,"vt.定义,详细说明"
definite,"adj.明确的,一定的"
definitely,"adv.明确地,干脆地"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
delegate,n.代表;vt.委派...为代表
delete,vt.删除
deliberate,"adj.深思熟虑的,故意的,预有准备的;v.商讨"
delicate,"adj.精巧的,精致的,病弱的,脆弱的,微妙的,棘手的,灵敏的,精密的"
delicious,adj.美味的
delivery,"n.递送,交付,分娩,交货,引渡;n.[律]财产等的正式移交,发送,传输"
demand,"n.要求,需求(量),需要;v.要求,需要,要求知道,查询"
democracy,"n.民主政治,民主主义"
democratic,"adj.民主的,民主主义的,民主政体的,平民的"
demonstrate,"vt.示范,证明,论证;vi.示威"
dense,"adj.密集的,浓厚的"
density,n.密度
dental,adj.牙齿的
deny,"v.否认,拒绝"
depart,"vi.离开,起程,不按照,逝世;adj.过去的,逝世的"
departure,"n.启程,出发,离开"
engine,"n.发动机,机车,火车头"
engineering,n.工程(学)
enhance,"vt.提高,增强;v.提高"
enlarge,"v.扩大,放大"
enormous,"adj.巨大的,庞大的,<古>极恶的,凶暴的"
enquire,v.询问
enquiry,n.询问
ensure,"vt.保证,担保,使安全,保证得到;v.确保,确保,保证"
entertain,"vt.娱乐,招待,接受,怀抱;vi.款待"
entertainment,"n.款待,娱乐,娱乐表演"
enthusiasm,"n.狂热,热心,积极性,激发热情的事物"
entire,"adj.全部的,完整的,整个"
entitle,"vt.给...权利(或资格),给...题名,给...称号;v.授权,授权"
entry,"n.登录,条目,进入,入口,[商]报关手续,[律]对土地的侵占,对房屋的侵入"
environment,"n.环境,外界"
envy,"n.&vt.羡慕,嫉妒"
episode,"n.一段情节,[音]插曲,插话,有趣的事件"
equality,"n.等同性,同等,平等,相等,等式"
equation,"n.相等,平衡,综合体,因素,方程式,等式"
equip,"vt.装备,配备,训练,准备行装"
equivalent,"adj.相等的,相当的,同意义的;n.等价物,相等物"
era,"n.时代,纪元,时期,[地]代"
erect,"adj.直立的,竖立的,笔直的;vt.盖,使竖立,使直立,树立,建立;vi.[生理]勃起"
error,"n.错误,过失,误差"
essay,"vt.企图,尝试;n.企图,散文,小品文,随笔,短文,评论"
essential,"adj.本质的,实质的,基本的,提炼的,精华的;n.本质,实质,要素,要点"
establish,"vt.建立,设立,安置,使定居,使人民接受,确定;v.建立"
establishment,"n.确立,制定,设施,公司,军事组织"
estate,"n.状态,不动产,时期,阶层,财产"
estimate,"v.估计,估价,评估;n.估计,估价,评估"
evaluate,"vt.评价,估计,求...的值;v.评价"
eve,"n.[诗]黄昏,前夕,前日"
event,"n.事件,事变,结果,活动,精力,竞赛"
evidence,"n.明显,显著,明白,迹象,根据,[物]证据,证物"
evident,"adj.明显的,显然的"
evidently,"adv.明显地,显然"
evil,"adj.邪恶的,带来麻烦的,不幸的,有害的,诽谤的;n.邪恶,不幸,罪恶"
evolution,"n.进展,发展,演变,进化"
evolve,"v.(使)发展,(使)进展,(使)进化"
exact,"adj.精确的,准确的,原样的,精密的,严格;vt.强求,急需,要求"
exaggerate,"v.夸大,夸张"
exceed,"vt.超越,胜过;vi.超过其他"
exceedingly,"adv.非常地,极度地"
exception,"n.除外,例外,反对,异议"
excess,"n.过度,剩于,无节制,超过,超额;adj.过度的,额外的"
excessive,"adj.过多的,过分的,额外"
exchange,"vt.交换,调换,兑换,交流,交易;n.交换,调换,兑换,交流,交易"
excitement,"n.刺激,兴奋,激动,搔动"
exclaim,"v.呼喊,惊叫,大声叫"
exclude,"vt.拒绝接纳,把...排除在外,排斥"
exclusive,"adj.排外的,孤高的,唯我独尊的,独占的,唯一的,高级的"
excursion,"n.远足,游览,短程旅行,远足队,离题,[物]偏移,漂移"
execute,"vt.执行,实行,完成,处死,制成,[律]经签名盖章等手续使(证书)生效"
executive,"adj.实行的,执行的,行政的;n.执行者,经理主管人员"
exert,"vt.尽(力),施加(压力等),努力;v.发挥,竭尽全力,尽"
exhaust,"vt.用尽,耗尽,抽完,使筋疲力尽;vi.排气;n.排气,排气装置;adj.用不完的,不会枯竭的"
exhibit,"vt.展出,陈列;n.展览品,陈列品,展品;v.展示"
existence,"n.存在,实在,生活,存在物,实在物"
expand,"vt.使膨胀,详述,扩张;vi.张开,发展"
expansion,"n.扩充,开展,膨胀,扩张物,辽阔,浩瀚"
expectation,"n.期待,预料,指望,展望,[数]期望(值)"
expense,"n.费用,代价,损失,开支,费钱之物"
experimental,"adj.实验的,根据实验的"
expert,"n.专家,行家,[军](特等)射手;adj.老练的,内行的,专门的;vt.在...中当行家,当专家"
explode,"vt.使爆炸;vi.爆炸,爆发,破除,推翻,激发"
exploit,"vt.开拓,开发,开采,剥削,用以自肥;v.使用"
explore,"v.探险,探测,探究"
explosion,"n.爆发,发出,爆炸,[矿]煤气爆炸"
explosive,"adj.爆炸(性)的,爆发(性)的,暴露;n.爆炸物,炸药"
export,"vt.输出;n.出口货,输出,出口,出口商品;v.出口"
expose,"vt.使暴露,受到,使曝光;v.揭露"
exposure,"n.暴露,揭露,暴光,揭发,揭露,位向,方向,陈列"
expression,"n.表达,表情,脸色,声调,腔调,榨出,语法,措辞;n.[数]式,表达式,符号"
extend,"v.扩充,延伸,伸展,扩大[军]使疏开,给予,提供,演化出的全文,<英>[律]对(地产等)估价"
extension,"n.延长,扩充,范围;n.扩展名;adj.[逻]外延的,客观现实的"
extensive,"adj.广大的,广阔的,广泛的"
extent,"n.广度,宽度,长度,范围,程度,区域,[律]<英>扣押,<美>临时所有权令"
exterior,"adj.外部的,外在的,表面的,外交的,[建](适合)外用的;n.外部,表面,外型"
external,"adj.外部的,客观的,[医]外用的,外国的,表面的;n.外部,外面"
extra,"adj.额外的,不包括在价目内的,特大的,特佳的;adv.特别地,非常,另外;n.额外人(或物),(报纸)号外,上等品,(电影)临时演员"
extraordinary,"adj.非常的,特别的,非凡的,特派的"
grand,"adj.盛大的,豪华的,重大的,主要的,极重要的"
grant,"vt.同意,准予,承认(某事为真)～"
grape,"n.葡萄,葡萄树"
graph,"n.图表,曲线图"
grasp,"vt.抓住,抓紧,掌握,领会;n.抓住,抓紧,掌握,领会"
grateful,"adj.感激的,感谢的"
gratitude,n.感谢的心情
grave,"n.墓穴,坟墓;adj.严重的,(颜色)黯淡的,(声音)低沉的;v.雕刻,铭记"
gravity,"n.地心引力,重力"
greedy,"adj.贪吃的,贪婪的,渴望的"
greenhouse,"n.温室,花房"
grind,"v.磨(碎),碾(碎),折磨"
grip,"vt.紧握,紧夹;n.掌握,控制,把手;v.抓住"
grocer,"n.食品商,杂货店"
gross,"adj.总的,毛重的;n.总额"
growth,"n.生长,种植,栽培,发育,等比级数"
guarantee,"n.保证,保证书,担保,抵押品;vt.保证,担保"
guidance,"n.指导,领导"
guideline,n.方针
guilty,"adj.犯罪的,有罪的,心虚的"
guitar,"n.吉他,六弦琴;vi.弹吉他"
gulf,"n.海湾,深渊,漩涡,隔阂;vt.吞没,使深深卷入"
gum,"n.齿龈,树脂,橡胶,橡胶树,口香糖,香口胶,泡泡糖"
guy,"n.家伙,人"
gym,"gymnasium体育;n.体育馆,体操"
gymnasium,"n.健身房,体育馆"
halt,"n.停止,暂停,中断;vt.使停止,使立定;vi.立定,停止,踌躇,有缺点"
hammer,"n.铁锤,槌,锤子;v.锤击,锤打"
handbag,n.手提包
handful,"n.一把,少数"
handle,"n.柄,把手,把柄,口实,手感;vt.触摸,运用,买卖,处理,操作;vi.搬运,易于操纵;n.[计]句柄"
handwriting,"n.笔迹,书写体,书法,笔势"
handy,"adj.手边的,就近的,唾手可得的,便利的,敏捷的,容易取得的"
happen,"vi.发生,碰巧,偶然;v.发生,恰巧,偶然发现"
harbour,n.(=harbor)海港
harden,"vt.使变硬,使坚强,使冷酷;vi.变硬,变冷酷,涨价"
hardship,"n.困苦,艰难,辛苦"
hardware,"n.五金器具,(电脑的)硬件,(电子仪器的)部件"
harm,"vt.伤害,损害;n.伤害,损害"
harmony,"n.协调,融洽"
harness,"n.(全套)马具,系在身上的绳子,甲胄;vt.上马具,披上甲胄,利用(河流、瀑布等)产生动力(尤指电力)"
harsh,"adj.粗糙的,荒芜的,苛刻的,刺耳的,刺目的"
haste,"n.匆忙,急忙"
hatred,"n.憎恨,乱意,仇恨"
hay,n.干草
hazard,"n.冒险,危险,冒险的事;vt.冒...的危险,赌运气,使遭危险"
heading,n.标题
headline,n.大字标题
headquarters,"n.司令部,指挥部,总部"
heal,"v.治愈,医治,结束"
heap,"n.堆,大量,许多;vt.堆,堆起;v.堆积"
hearing,"n.听力,听觉,听取意见,听讼;v.倾听"
heave,v.举起;n.举起
hedge,"n.树篱,障碍物;v.用树篱围住,避免作正面答复"
heel,"n.脚后跟,踵,跟部"
helicopter,"n.直升(飞)机,直升机"
hell,"n.地狱,苦境,阴间,地狱中的人,训斥;vi.狂饮,飞驰;int.该死!"
helpful,"adj.有帮助的,有用的,有益的"
helpless,"adj.无助的,无能的,没用的"
hen,"n.母鸡,雌鸟"
hence,"adv.因此,从此"
herd,"n.兽群,牧群;v.把...赶在一起放牧,成群"
heroic,"adj.英雄的,英勇的"
hesitate,"v.犹豫,踌躇,不愿"
highlight,"n.加亮区,精彩场面,最显著(重要)部分;vt.加亮,使显著,以强光照射,突出"
highly,"adv.高地,非常"
highway,"n.公路,大路"
hint,"n.暗示,提示,线索"
hip,"n.臀,蔷薇果,忧郁;adj.熟悉内情的;vt.使忧郁,给（屋顶）造屋脊;int.喝彩声"
hire,"n.租金,工钱,租用,雇用;vt.雇请,出租;vi.受雇"
historic,"adj.历史上著名的,有历史性的"
historical,"adj.历史(上)的,有关历史的"
hobby,n.业余爱好
hollow,"n.洞,窟窿,山谷;adj.空的,虚伪的,空腹的,凹的;adv.<口>彻底vi.形成空洞;vt.挖空,弄凹"
holy,"adj.神圣的,圣洁的;n.神圣的东西"
honey,"n.(蜂)蜜,蜂蜜"
honourable,"adj.可敬的,荣誉的,光荣的"
hook,"n.钩,吊钩;v.钩住,沉迷,上瘾"
hopeful,"adj.怀有希望的,有希望的"
hopeless,"adj.没有希望的,绝望的,不可救药"
horizon,"n.地平线;n.地平(线),(知识,思想等的)范围,视野"
kettle,"n.壶,罐,釜,鼓"
keyboard,n.[计]键盘
kid,"n.哄骗,取笑,开玩笑,小孩,小山羊;v.哄骗,取笑,开玩笑,欺骗"
kindergarten,"n.幼儿园;adj.幼儿园的,初级的,启蒙阶段的"
kindness,"n.仁慈,亲切,好意,善意"
kingdom,"n.王国,[宗]天国,上帝的统治,领域"
kneel,vi.跪下
knot,"n.(绳等的)结,(树的)节,节(船速,＝哩／小时);v.打结"
label,"n.标签,签条,商标,标志;vt.贴标签于,指...为,分类,标注;[计]加上或修改磁盘的标签"
laboratory,n.实验室
lad,"n.少年,青年男子,<口>伙计，家伙（呢称）"
lag,"n.落后,囚犯,迟延,桶板,防护套;adj.最后的;vi.缓缓而行,滞后;vt.落后于,押往监狱,加上外套"
lamb,"n.小羊,羔羊;v.生小羊"
landlord,"n.房东,地主,(旅馆等的)老板"
landscape,"n.风景,山水画,地形,前景;v.美化"
lane,"n.（乡间）小路,巷,里弄,狭窄的通道,航线"
lap,"n.(坐时的)大腿前部,膝盖,舔声,(水)溅泼声,重叠的部分,(跑道的)一圈,衣兜,下摆;vi.重叠,围住,轻拍,舔;vt.包围,抱...在膝上,使重叠,舔食,泼溅,拍打"
largely,"adv.主要地,大量地,很大程度上"
laser,n.激光
latter,"adj.后面的,(两者中)后者的,较后的,近来的"
laughter,"n.笑,笑声"
launch,"n.下水,汽艇,发射,发行,投放市场;vt.使(船)下水,掷(标枪等),发射(导弹火箭等),开办,发动,发起;vi.起飞,下水,投入,开始"
laundry,"n.洗衣店,要洗的衣服,洗熨"
lavatory,"n.厕所,<主英>抽水马桶,<美>洗脸盆,浴室"
lawn,"n.草地,草坪,(均匀生长于固体培养基的)菌苔"
layer,"n.层,阶层"
layout,"n.规划,设计,(书刊等)编排,版面,配线,企划,设计图案,(工厂等的)布局图,版面设计"
leader,"n.领导者,社论;n.[计]前导字符;n.[机]导杆"
leadership,"n.领导能力,领导阶层"
leading,"adj.领导的,第一位的,最主要的"
leak,"n.漏洞,漏出,漏出物,泄漏,<俚>撒尿;vi.漏,泄漏;vt.使渗漏"
lean,"n.倾斜,倾斜度,倚靠,倾向;adj.瘦的,贫乏的,歉收的;vi.倚靠,倾斜,依赖,倾向,偏向;vt.使倾斜"
leap,"v.跳,跳越,跳跃;n.跳跃,飞跃"
learned,"adj.有学问的,学术上的"
learning,"n.知识,学问,学习,学"
lease,"n.租借,租约,租赁物,租期,延续的一段时间;vt.出租,租出,租得"
leather,"n.皮革,皮革制品"
legal,"adj.法律的,法定的,合法"
legislation,"n.立法,法律的制定(或通过)"
leisure,"n.空闲,闲暇,悠闲,安逸"
lemon,n.柠檬;adj.柠檬色的
lens,"n.透镜,镜头"
lest,"conj.唯恐,以免,免得,(用于fear,beafraid之后,等于that)"
liable,"adj.有责任的,有义务的,易...的,有...倾向的,负有责任的,很有可能的"
liberal,"n.自由主义者,(尤指英国、加拿大等国的);adj.慷慨的,不拘泥的,宽大的,自由主义的"
liberate,"v.解放,释放"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
librarian,"n.图书馆员,图书管理员"
license,"n.许可(证),执照;vt.许可,特许;v.许可"
lick,"n.舔,少许,打;vt.舔,卷过,鞭打,克服,征服;vi.轻轻拍打"
lid,"n.盖子,<美口>限制,眼睑;vt.给...盖盖子"
lightning,n.闪电;(“闪电”)英国第一种超音速喷气式战斗机，英60年代的主力机种。
likely,"adj.很可能的,合适的,可靠的,有希望的;adv.或许,很可能"
likewise,"adv.同样地,照样地,又,也;n.同样地"
limb,"n.肢,翼,分支"
limitation,"n.限制,局限性"
limited,"adj.有限的,狭窄的,缺乏创见的;n.高级快车"
link,"n.链环,连结物,火把,链接;vt.连结,联合,挽;vi.连接起来"
liquid,"n.液体,流体,流音;adj.液体的,清澈的,透明的,明亮的,流动的,易变的,(财务)易变卖的"
liquor,"n.液体,汁，酒精饮料,[药]溶液;vt.浸水;vi.喝酒"
liter,n.公升
literary,"adj.文学(上)的,从事写作的,文艺的,精通文学的,书本的"
literature,"n.文学(作品),文艺,著作,文献"
liver,n.居住者，生活优裕的人，肝脏
living-room,"n.客厅,起居室"
loaf,"n.一条面包,块,游荡;v.游荡,虚度光阴"
loan,"n.（借出的）贷款,借出;v.借,借给"
lobby,"n.大厅,休息室,<美>游说议员者;vi.游说议员,经常出入休息室;vt.对(议员)进行疏通"
local,"adj.地方的,当地的,局部的,乡土的;n.当地居民,本地新闻,慢车,局部"
locate,"vt.查找...的地点,使...坐落于,位于;v.定位,位于"
location,"n.位置,场所,特定区域，<美>[电影]外景拍摄场地"
lodge,"n.门房,(猎人住)山林小屋,(游览区)旅馆,(地方社团)集会处;vi.临时住宿,寄宿(某人家);vt.容纳,寄存,把...射入,存放,(向有关当局)提出(声明)"
log,"n.航行日志,原木,园形木材,园木;v.把...记入航行日志,伐木,把...锯成段"
logic,"n.逻辑,逻辑学,逻辑性"
logical,"adj.合乎逻辑的,合理的"
loop,"n.环,线(绳)圈,弯曲部分,回路,回线,(铁路)让车道,(飞机)翻圈飞行;vt.使成环,以圈结,以环连结;vi.打环,翻筋斗;n.循环"
loose,"n.解放,放任,放纵;adj.宽松的,不精确的,不牢固的,散漫的,自由的;vt.释放,放枪,开船;vi.变松,开火;adv.松散地"
loosen,"v.解开,放松,松开"
lord,"n.封建领主,地主,统治者,[宗]上帝;vi.称王称霸,作威作福;vt.使成贵族"
lorry,"n.<古>卡车,铁路货车"
lover,"n.爱人,爱好者,情人"
numerous,"adj.众多的,许多的,无数的"
nursery,n.托儿所
nylon,n.尼龙
obey,"v.服从,顺从"
object,"n.物体,目标,宾语,对象;vi.反对,拒绝,抗议;vt.提出...来反对"
objection,"n.异议,缺陷,妨碍,拒绝之理由"
objective,"n.目标,目的,(显微镜的)(接)物镜,[语法]宾格;adj.客观的,[语法]宾格的"
obligation,"n.义务,职责,债务"
oblige,"vt.迫使,责成"
observation,"n.观察,观测,观察资料(或报告)"
observe,"vt.观察,观测,遵守,评述,说"
observer,"n.观测者,观察员,遵守者"
obstacle,"n.障碍,妨害物"
obtain,"vt.获得,得到"
obvious,"adj.明显的,显而易见的"
occasion,"n.场合,时机,机会"
occasional,"adj.偶然的,非经常的,特殊场合的,临时的"
occupation,"n.职业,占有,占有(房屋等)期间"
occupy,"vt.占,占用,占领,占据"
occur,"vi.发生,出现"
occurrence,"n.发生,出现,事件,发生的事情"
odd,"adj.奇数的,单数的,单只的,不成对的,临时的,不固定的,带零头的,余的"
offend,"v.犯罪,冒犯,违反,得罪,使...不愉快"
offense,n.进攻
offensive,"adj.讨厌的,无礼的,攻击性的;n.进攻,攻势"
official,"n.官员,公务员;adj.职务上的,公务的,官方的,正式的"
omit,"vt.省略,疏忽,遗漏"
onion,"n.洋葱;vt.加洋葱于,因洋葱掉泪"
opening,"n.开,开放,开始,口子,穴,通路,空缺,机会;adj.开始的,开幕的"
opera,n.歌剧
operational,"adj.操作的,运作的"
operator,"n.操作员,工作者,(电话)接线员,报务员,手术员,行家,经营者,算子"
opponent,"adj.对立的,对抗的;n.对手,反对者"
opportunity,"n.机会,时机"
oppose,"vt.反对,使对立,使对抗,抗争;vi.反对"
optical,"adj.眼的,视力的,光学的"
optimistic,adj.乐观的
option,"n.选项,选择权,[经]买卖的特权"
optional,"adj.可选择的,随意的"
oral,adj.口头的
orbit,"n.轨道,势力范围,生活常规,眼眶;vt.绕...轨道而行;vi.进入轨道,沿轨道飞行,盘旋"
orchestra,"n.管弦乐队,乐队演奏处"
orderly,"adj.有秩序的,整齐的,整洁的;n.传令兵,勤务兵;adv.依次地,顺序地"
ore,"n.矿石,含有金属的岩石"
organ,"n.[机]元件,机构,机关,机关报;[乐]风琴,管风琴,嗓音;[生物]器官"
organic,"adj.器官的,有机的,组织的,建制的"
organize,"n.生物体,有机体"
organization,"n.组织,机构,团体"
organism,"vt.组织,使有机化,给予生机;vi.组织起来"
origin,"n.起源,由来,起因,出身,血统,[数]原点"
original,"adj.最初的,原始的,独创的,新颖的;n.原物,原作"
ounce,"n.盎司,少量,[动]雪豹"
outcome,"n.结果,成果"
outer,"adj.外部的,外面的,远离中心的;n.(射击)环外命中"
outlet,"n.出口,出路"
outline,"n.大纲,轮廓,略图,外形,要点,概要;vt.描画轮廓,略述"
outlook,"n.景色,风光,观点,见解,展望,前景"
output,"n.产量,输出,输出量"
outset,"n.开端,开始"
outside,"n.外面,外表,外界;adj.外面的,外表的,外界的;adv.在外面,外表,出界;prep.在...外"
outstanding,"adj.突出的,显著的"
outward,"adj.外面的,外表的,公开的,向外的,外出的;adv.向外,在外,表面上n.外表,周围世界"
oval,"adj.卵形的,椭圆的;n.卵形,椭圆形"
oven,"n.烤箱,烤炉,灶"
overall,"adj.全部的,全面的"
overcome,"vt.战胜,克服,胜过,征服;vi.得胜"
overhead,"adj.在头上的,高架的;n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处"
overlook,"vt.俯瞰,耸出,远眺,没注意到;n.眺望,俯瞰中的景色"
overnight,"n.头天晚上;adj.通宵的,晚上的,前夜的;adv.在前一夜,整夜,昨晚一晚上"
overseas,"adv.海外;adj.外国的,海外的"
overtake,"vt.赶上,追上,(暴风雨、麻烦等)突然来袭,压倒"
owe,"vt.欠(债等),受到...的思想,感激,把...归功于;v.欠,应感激,应该把…归功于(to);vi.欠钱"
owing,"adj.(～to)由于,该付的,未付的,应归功于"
owner,"n.所有者,业主"
ownership,"n.所有权,物主身份"
oxygen,n.[化]氧
pace,"n.(一)步,速度,步调,步法,步态;vi.踱步,缓慢的走;vt.用步测,踱步于,(马)溜花蹄"
pack,"n.包裹,<贬>一群,一副,背包,包装;vt.包装,捆扎,塞满,压紧,挑选;vi.包装货物,挤,群集,被包装;背包"
package,"n.包裹,包;"
packet,"n.小包裹,小捆;v.包装;信息包"
pad,"n.垫,衬垫,便笺簿;v.加上衬垫"
prompt,"n.提示,付款期限;vt.提示,鼓动,促使,(给演员)提白;adj.敏捷的,迅速的,即时的;adv.准时地;n.DOS命令:改变DOS系统提示符的风格"
pronoun,n.代名词
proof,"n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的"
property,"n.财产,所有物,所有权,性质,特性,(小)道具"
proportion,"n.比例,均衡,面积,部分;vt.使成比例,使均衡,分摊"
proportional,"adj.比例的,成比例的,相称的,均衡的"
proposal,"n.提议,建议"
propose,"vt.计划,建议,向...提议,求(婚);vi.打算,求婚"
prospect,"n.景色,前景,前途,期望;vi.寻找,勘探"
prosperity,n.繁荣
prosperous,adj.繁荣的
protection,n.保护
protective,"adj.给予保护的,保护的"
protein,n.[生化]蛋白质;adj.蛋白质的
protest,"n.主张,断言,抗议;v.主张,断言抗议,拒付"
prove,"vt.证明,证实,检验,考验;vi.原来(是),证明(是)"
provide,"v.供应,供给,准备,预防,规定"
provided,conj.倘若
province,n.省(一个国家的大行政区)
provision,"n.供应,(一批)供应品,预备,防备,规定"
provoke,"vt.激怒,挑拨,煽动,惹起,驱使"
psychological,adj.心理(上)的
publication,"n.出版物,出版,发行,公布,发表"
publicity,n.公开
publish,"v.出版,刊印;vt.公布,发表"
pulse,"n.脉搏,脉冲"
pump,"n.泵,抽水机;vt.(用泵)抽(水),抽吸"
punch,"n.冲压机,冲床,打孔机;vt.冲孔,打孔"
punctual,"adj.严守时刻的,准时的"
purchase,"vt.买,购买;n.买,购买"
purple,adj.紫色的;n.紫色
purse,n.钱包
pursue,"vt.追赶,追踪,追击,继续,从事"
puzzle,"n.难题,谜;v.(使)迷惑,(使)为难,迷惑不解"
qualification,"n.资格,条件,限制,限定,赋予资格"
qualify,"v.(使)具有资格,证明合格,限制修饰;vt.限制,限定"
queue,"n.行列,长队,队列;vi.排队,排队等待"
quit,"vi.离开,辞职,停止;vt.离开,放弃,解除,停止"
quiz,"n.测验,提问,恶作剧;v.对...进行测验,盘问,挖苦"
quotation,"n.引用语,价格,报价单,行情表"
quote,"vt.引用,引证,提供,提出,报(价)"
racial,"adj.人种的,种族的,种族间的"
rack,"n.架,行李架,拷问台,小步跑,烧酒,破坏;vt.放在架上,在架上制作,折磨,加以拷问,使痛苦,榨取;vi.在饲草架装满干草,变形,(云)随风飘,(马)小步跑"
radar,"n.雷达,电波探测器"
radiation,"n.发散,发光,发热,辐射,放射,放射线,放射物"
radical,"adj.根本的,基本的,激进的;n.激进分子"
rag,"n.抹布,碎屑,石板瓦,破旧衣服,少量;vt.揶揄,戏弄,欺负;vi.喧闹"
rage,"n.愤怒,情绪激动,狂暴,精神错乱;vi.大怒,狂吹,风行"
raid,"n.袭击,搜捕;v.奇袭,搜捕"
rail,"n.横杆,围栏,扶手,铁轨;vt.以横木围栏,铺铁轨;vi.责骂,抱怨"
railroad,n.铁路;vt.<美>由铁道运输
railway,"n.[英]铁道,铁路"
rainbow,"n.彩虹,五彩缤纷的排列,幻想,幻觉,虚无缥缈的东西;adj.五彩缤纷的"
