whitish,adj. 发白的
cellist,n. 大提琴手
outsider,n. 外来者
watt,n. 瓦特
blurb,n. 简介，产品推介
former,adj. 以前的；n. 前者
raw,adj. 生的，未加工的
stainless,adj. 不锈的
sophistication,n. 复杂
cavern,n. 大洞穴
evolution,n. 进化，演变
obligatory,adj. 强制性的
commercially,adv. 商业性地
underwater,adj. 水下的
ecological,adj. 生态的，生态学的
heir,n. 继承人
unveil,v. 为…揭幕
navy,n. 海军
relative,adj. 相对而言的；n. 亲戚
sensible,adj. 明智的
rotten,adj. 腐烂的
consulate,n. 领事馆
outstrip,v. 超过
infant,n. 婴儿；adj. 婴儿的
spectrograph,n. 光谱仪
expansive,adj. 广阔的
keenly,adv. 强烈地
pace,n. 速度
campus,n. 校园
nourish,v. 养育
disaster,n. 灾难
inn,n. 小旅店
intensify,v. 加剧
altar,n. 祭坛
indispensable,adj. 不可或缺的
deserve,v. 应得
cellular,adj. 细胞的
liberal,adj. 自由的
shoreline,n. 海岸线
arbitrary,adj. 武断的
authority,n. 权力，威信，当局，来源
preverbal,adj. 语前的
composer,n. 作曲家
annoying,adj. 恼人的
gastrointestinal,adj. 胃肠的
stalk,n. 茎；v. 潜行
overlap,v. 重叠 ；adj. 重叠
poisoning,n. 毒
prenatally,adj. 产前的
secularization,n. 世俗化
partner,n. 伙伴
pigeon,n. 鸽子
surveyor,n. 勘测员
spray,v. 喷
shortage,n. 缺乏
tradition,n. 传统
hoard,n. 贮藏
triple,v. 成为三倍；n. 三倍
gaseous,adj. 气体的，气态的
emergency,n. 紧急情况
energetic,adj. 精力充沛的
utensil,n. 用具
custom,adj. 定做的；n. 习俗
mini,adj. 小型的
analysis,n. 分析
faraway,adj. 遥远的
invisibly,adv. 看不见地
posit,v. 假设
pressure,n. 压力；v. 强迫
pounce,v. 猛扑，突袭
toxic,adj. 有毒的
environment,n. 环境
modernization,n. 现代化
individually,adv. 单独地
presence,n. 存在，在场
centrally,adv. 集中地
burnish,n. 光泽，光滑
hydrosphere,n. 地球水圈
fireproof,v. 使…防火
inconsistency,n. 不一致
Koran,n. 古兰经
clerk,n. 职员
harpsichordist,n. 拨弦键琴演奏者
originally,adv. 起初，原来
marble,n. 大理石
sever,v. 断绝
invasive,adj. 扩散性的
mysterious,adj. 神秘的
spider,n. 蜘蛛
exhausted,adj. 精疲力竭的
conservatism,n. 保守主义
setup,n. 安装
sensory,adj. 感觉的
port,n. 港口
illegally,adv. 不法地
omit,v. 遗漏，省略
trash,n. 垃圾
interestingly,adv. 有趣地，值得注意地
evolutionary,adj. 进化的，演变的
accountant,n. 会计
bias,n. 偏见；v. 使有偏见
gasoline,n. 汽油
intentional,adj. 有意的
comfort,n. 舒适
seed,n. 种子
lowland,n. 低地；adj. 低地的
selective,adv. 有选择的
splitting,n. 分裂
cylindrical,adj. 圆柱形的
demonstrate,v. 证明，表露，示范操作
wooden,adj. 木制的
declare,v. 宣告
circuitry,n. 电路
appraisal,n. 评价
consolidate,v. 合并
loyalty,n. 忠诚
transient,adj. 转瞬即逝的
draft,n. 草稿，征兵
gravel,n. 沙砾
espouse,v. 支持
seasonal,adj. 随季节变化的
deity,n. 神
beetle,n. 甲虫
brilliantly,adv. 出色地
osmotic,adj. 渗透的
unfavorably,adv. 不利地
subtropical,adj. 亚热带的
edit,v. 编辑
destination,n. 终点，目的地
computing,n. 计算机学
variation,n. 变化，差异
drone,v. 嗡嗡叫
choir,n. 合唱团
plateau,n. 高原
instructive,adj. 指导性的
greenish,adj. 淡绿色的
literally,adv. 确确实实地，照字面地
concerted,adj. 齐心协力的
declaration,n. 宣称
sketch,v. 素描；n. 素描
desiccation,n. 脱水
designation,n. 名称
practicality,n. 可行性
downside,n. 负面
goddess,n. 女神
interact,v. 交流，相互作用
crusade,v. 运动
geological,adj. 地质的
ration,v. 分配
snapshot,n. 快照
ostracize,v. 排斥
tragedy,n. 悲剧
inappropriate,adj. 不合适的
silt,n. [水渠或港口等处的] 泥沙
element,n. 化学元素，因素
dredge,n. 拖捞网；v. 撒
dung,n. 粪
relatively,adv. 相对地
impressionistic,adj. 印象派的
fitness,n. 健康
clown,n. 小丑
feathered,adj. 有羽毛的
interfere,v. 干扰
activate,v. 激活
extraneous,adj. 外部的
detective,n. 侦探
distortion,n. 扭曲
toss,v. 扔，使...颠覆
envelop,v. 笼罩
meteoroid,n. 流星体
socialize,v. 交际
firefly,n. 萤火虫
ingenuity,n. 心灵手巧
echo,n. 回声；v. 回响
gender,n. 性别
berry,n. 浆果
intensification,n. 增强
bubble,n. 气泡；v. 起泡
milky,adj. 似乳的
depression,n. 坑，萧条
botany,n. 植物
iridescent,adj. 色彩斑斓的
gradient,n. 梯度，斜坡
playwriting,n. 写剧本
transplant,v. 使…迁移
enroll,v. 注册，参加
devastate,v. 毁灭
reel,n. 轴
darkness,n. 黑暗
modify,v. 改变
spouse,n. 配偶
swear,v .发誓
section,n. 部分 ，地段，切片
alongside,prep. 在...旁边，和...在一起
wander,v. 游荡
lap,n. 大腿部
attendee,n. 出席者
resentment,n. 愤恨
distant,adj. 远处的，久远的
dating,n. 年代测定
technically,adv. 技术上
paradox,n. 悖论
restricted,v. 有限的
stranglehold,n. 压制
sake,n. 缘故
wedge,n. 楔形物
familiar,adj. 熟悉的
solar,adj. 太阳的
polish,v. 擦亮
astounding,adj. 令人震惊的
visitation,n. 视察
opposite,adj. 相反的；n. 对立面
mixed,adj. 混杂的，互相矛盾的
intended,adj. 预期的，故意的
pebble,n. 鹅卵石
compulsory,adj. 义务的
bemoan,v. 哀叹
hog,v. 独占
intrinsic,adj. 本质的
subsidized,adj. 补贴的
trappings,n. 装饰物
motivate,v. 促动
spore,n. 孢子
unused,adj. 未用过的
functionality,n. 实用性
clog,v. 堵塞
interconnect,v. 相互连接
predictably,adv. 可预料地
divert,v. 转移
entirely,adv. 完全地
agriculture,n. 农业
fatten,v. 育肥
reindeer,n. 驯鹿
compensate,v. 补偿
enrichment,n. 充实
barbarian,n. 未开化的人
indicative,adj. 象征的，指示的
affinity,n. 喜爱
fireplace,n. 壁炉
recognition,n. 识别，承认
navigation,n. 导航，航行
belong,v. 属于
proton,n. 质子
digest,v. 消化
rigorous,adj. 严格的
wonderfully,adv. 极好地
desecrate,v. 亵渎
greatness,n. 伟大
inference,n. 推断
extended,adj. 延长了的
equitable,adj. 公正的
handle,v. 处理，操纵，拿；n. 理解，柄
recurrence,n. 再现
ironically,adv. 讽刺地
armor,n. 盔甲
dreaminess,n. 多梦
comprehend,v. 理解
infrared,adj. 红外线的
corral,n. 畜栏
brittle,adj. 脆弱的
knight,n. 骑士
notorious,adj. 臭名昭著的
preposterous,adj. 荒谬的
rediscovered,adj. 重新发现，重新找到
evaporative,adj. 蒸发的
comical,adj. 滑稽的
paucity,n. 不足
instrumental,adj. 起作用的，乐器的
differ,v. 有区别
defenseless,adj. 不能自卫的
holding,n. 收藏品
symbiotic,adj. 共生的
asset,n. 资产
ranch,v. 经营牧场；n. 牧场
antibacterial,adj. 抗菌的
lyrical,adj. 抒情的
refreshing,adj. 给人新鲜感的，提神的
retardant,adj. 延缓的
matchstick,n. 火柴杆
desirable,adj. 值得拥有的
reversal,n. 逆转
slip,v. 滑动
bolt,n. 插销
cohesion,n. 团结
attractively,adv. 漂亮地，吸引人地
ultimately,adv. 最终，根本上
commerce,n. 贸易
canopy,n. 树冠层
distribution,n. 分布，分销
collaborative,adj. 合作的
appetite,n. 欲望
stun,v. 使震惊
southward,adv. 向南；adj. 向南的
caloric,adj. 热的
mission,n. 任务
absorption,n. 吸收
debatable,adj. 有争议的
rebound,v. 回升；n. 回升
custodian,n. 看管者
universally,adv. 普遍地
ski,v. 滑雪
related,adj. 相关的
defend,v. 保护，为…辩解
discovery,n. 发现
engulf,v. 吞没
discernible,adj. 看得清的
nutshell,n. 坚果壳
drift,n. 漂流，吹积物；v. 漂流
canid,n. 犬科
irresistible,adj. 不可抗拒的
fume,n. (刺鼻有害的)气体
detailed,adj. 详细的
genetically,adv. 通过基因，在遗传学上
pricing,n. 定价；v. 定价
suitable,adj. 合适的
wade,v. (从水、泥等)蹚
foothill,n. 山麓丘陵
intently,adv. 专注地
firefighter,n. 消防队员
gardening,n. 园艺活动
obligate,v. 使负有义务
submerged,adj. 淹没的
radically,adv. 彻底地
active,adj. 活跃的
eligibility,n. 资格
compensation,n. 补偿
willing,adj. 乐意的
priority,n. 优先
fluctuate,v. 波动
pollinator,n. 传粉者
precise,adj. 精确的
mysteriously,adv. 神秘地
enforce,v. 强制实施，加强
greasy,adj. 油腻的
economy,n. 经济
reservoir,n. 储备，水库
poisonous,adj. 有毒的
nevertheless,adv. 尽管如此
lithograph,n. 平板印刷品
pot,n. 锅，壶，盆，罐
makeup,n. 组成
choppy,adj. 波浪起伏的
visual,adj. 视觉的
stuff,n. 东西
combat,v. 与…做斗争；n. 战斗
craftsmanship,n. 技艺
math,n. 数学
taxation,n. 税收
teaching,n. 教学，[宗教]教义
prohibit,v. 禁止，阻止
miraculous,adj. 奇迹般的
reckon,v. 计算
exceptional,adj. 不同寻常的，例外的
reportedly,adv. 据说
incompetent,adj. 无能力的
restructure,v. 重建
reverberant,adj. 回响的
unpredictably,adv. 不可预测地
molecular,adj. 分子的
conservationist,n. 自然环境保护主义者
adaptation,n. 适应，改编
ought,v. 可能会
confrontational,adj. 对抗的
fowl,n. 家禽
sociological,adj. 社会学的
influential,adj. 有影响力的
womb,n. 子宫
formless,adj. 无定形的
detractor,n. 诋毁者
raisin,n. 葡萄干
convenience,n. 方便
category,n. 种类
grower,n. 种植者
habitable,adj. 适于居住的
multicellular,adj. 多细胞的
dam,n. 水坝；v. 在...中筑坝
filament,n. 细丝
accrete,v. 增大生长
increment,n. 增加
originality,n. 独创性
ally,n. 同盟者
puzzle,n. 谜
profile,n. 数据图表，轮廓
cyclic,adj. 循环的
reproduce,v. 繁殖，复制
actually,adv. 实际上，的确
heliocentric,adj. 以太阳为中心的
harbor,n. 港口
covert,adj. 隐蔽的
outlast,v. 比…更长久
reliably,adv. 可靠地
brochure,n. 小册子
skillful,adj. 熟练的
branch,n. 树枝，分支；v. 分叉
privileged,adj. 有特权的
outrun,v. 跑得比…快
immigrant,n. (外来)移民
survivorship,n. 生存
underline,v. 强调
stratification,n. 成层
glare,n. 刺眼的强光
significant,adj. 重要的
casual,adj. 漫不经心的
target,n. 目标；v. 把…作为对象
extremely,adv. 非常
manageable,adj. 可处理的
piston,n. 活塞
outcrop,n. [岩石等的] 露出地面部分
spotlight,n. 聚光灯
sidewalk,n. 人行道
apply,v. 应用，申请，涂，适用
torch,n. 火炬
respectability,n. 体面
sanitation,n. 公共卫生
quality,n. 质量，性质
contracting,n. 收缩
alive,adj. 活着的，有活力的
significance,n. 重要性
pioneering,adj. 开拓性的
rut,n. 发情期
rainbow,n. 彩虹
compass,n. 指南针
immensely,adv. 极其
consumer,n. 消费者，消耗者
sticker,v. 贴纸
error,n. 错误
grind,v. 磨碎，把…磨光
schedule,v. 计划；n. 时刻表
trajectory,n. 轨道
disclose,v. 使...显露
gadget,n. 小装置
nectar,n. 花蜜
glassy,adj. 像玻璃的
turbulence,n. 湍流，动乱
disharmony,n. 不和谐
squirt,v. 喷湿
wakefulness,n. 觉醒状态
breeding,n. 繁殖
logically,adv. 合乎逻辑地
bizarre,adj. 古怪的
cell,n. 细胞，电池
thinker,n. 思想家
plumage,n. [鸟的] 全身羽毛
sloping,adj. 倾斜的
soluble,adj. 可溶的
gradualism,n. 物种缓变论
insect,n. 昆虫
ethanol,n. 乙醇
commission,n. 委员会，委任；v. 委任
proportionately,adv. 相应地
evergreen,adj. 常青的
tribe,n. 部落
hail,v. 来自
unravel,v. 解开
continuous,adj. 连续的
launch,v. 发起，发射；n. 发射
conventional,adj. 传统的
admission,n. 准许进入，入场费
cleaning,n. 打扫，清洁
urbanized,adj. 城市化的
scale,n. 规模，鳞；v. 攀登、攀上
demolish,v. 拆除
mythology,n. 神话学
pulpy,adj. 果肉状的，泥浆状的
detect,v. 发现，闻到
topographical,adj. 地形的
tanker,n. 油轮
molten,adj. 熔化的
reduce,v. 减少
alarm,n. 警报
base,v. 把…建立在基础上；n. 底部，基础，基地，[化学]盐基
funeral,adj. 葬礼的
emanate,v. 发出
exhausting,adj. 令人精疲力竭的
technician,n. 技师
statement,n. 陈述
transcript,n. 成绩报告单
escape,v. 逃跑，[气体，液体，热量等]逸出；n. 逃跑，[气体，液体，热量等]逸出
exponential,adj. 越来越快的
carpenter,n. 木匠
protest,v. 抗议
theatrically,adv. 戏剧化地
recreation,n. 娱乐
wipe,v. 擦去
track,n. 铁轨，曲目，路径；v. 追踪
demand,n. 要求；v. 需要，强烈要求
specify,v. 具体说明
amino,adj. 氨基的
strife,n. 冲突
patrol,v. 巡逻
yogurt,n. 酸奶
deeply,adv. 深入地
marketplace,n. 集市
appreciative,adj. 感激的
phenomenal,adj. 杰出的
witness,v. 目睹；n. 见证人
hometown,n. 家乡
discriminate,v. 歧视，区别对待
prune,v. 修建，减去
reductionist,n. 还原论者；adj. 简化的
cultivate,v. 种植
princess,n .王后
characterization,n. 性格描写
repaint,v. 重画，重绘，重漆
replica,n. 复制品
delicately,adv. 精致地
juror,n. 陪审员
mingle,v. 混合
diplomacy,n. 外交
protrude,v. 突出，伸出
advisor,n. 顾问，提供意见者
vitamin,n. 维生素
scientifically,adv. 科学地
seismographic,adj. 地震仪的，地震学的
devastation,n. 破坏
donate,v. 捐赠
framework,n. 框架，体系
concept,n. 概念
facility,n. 设备
photosynthetic,adj. 光合作用的
afterward,adv. 以后
scrub,n. 灌木丛
splash,v. 溅落
reexamine,v. 重新检查，复试
telegraph,n. 电报
creative,adj. 创造性的
hazard,n. 危险
tyranny,n. 暴政
expansion,n. 扩张
memorize,v. 记住
female,n. 雌性；adj. 雌性的
convection,n. 对流
stump,n. 树墩
Arctic,adj. 北极的；n. 北极
brackish,adj. 微咸的
incapable,adj. 无能力的
unifying,adj. 统一的
feud,n. 夙怨
oceanographer,n. 海洋学家
unregulated,adj. 未经调节的
nutritional,adj. 营养的
local,adj. 本地的
agenda,n. 议事日程
sensibility,n. 鉴赏力
knowledgeable,adj. 博学的
apparent,adj. 明显的
imagination,n. 想象力
footage,n. 连续镜头
echolocation,n. 回声定位
grace,n. 优雅
tableware,n. 餐具
unfortunate,adj. 不幸的
infection,n. 传染
publicly,adv. 公开地
ultimate,adj. 最终的
rugged,adj. 坚固的
hemisphere,n. 半球，大脑半球
throat,n. 喉咙
seam,n. 矿层
anthropology,n. 人类学
harsh,adj. 严厉的，恶劣的
intensive,adj. 密集的
employer,n. 雇主
cognition,n. 认知
essential,adj. 完全必要的；n. 必需品
condemn,v. 判处
bevel,v. 把…切成斜面
translocation,n. 转移
genus,n. 属
fluidized,adj. 液化的
chapter,n. 章节
sanitary,adj. 卫生的
solidarity,n. 团结
disciplined,adj. 训练有素的
unlock,v. 揭开
projector,n. 放映机，投影仪
portrayal,n. 描绘
bankruptcy,n. 破产
vein,n. 叶脉
yawn,v. 打哈欠；n. 哈欠
misbehave,v. 发生故障
chill,v. 使…变冷
amplification,n. 放大
similarly,adv. 相似地
hatching,n. 孵化
bushel,n. 蒲式耳（粮食计量单位）
proportionally,adv. 相应地，成比例的
favor,n. 赞同；v. 赞同，较喜欢
tempt,v. 引诱
recurrent,n. 反复出现的
imagery,n. 意象
toll,n. 通行费，钟声
seaboard,n. 沿海地区
shade,n. 阴影，色度；v. 遮挡
engender,v. 导致
bowl,n. 碗
externally,adv. 从外部
kindle,v. 激起，鼓舞
paddy,n. 稻田
inaccuracy,n. 不准确
geostationary,adj. 与地球旋转同步的
extravagant,adj. 奢侈的
opening,n. 洞，豁口，开始
splendid,adj. 极好的
upset,v. 使生气；adj. 难过
tomb,n. 坟墓
assignment,n. 任务，作业
preparation,n. 准备
pavement,n. 路面
bland,adj. 淡而无味的，清淡的
bog,v. 受到阻碍；n. 泥塘
dampen,v. 使…潮湿
closing,n. 关闭
found,v. 建立
drought,n. 旱灾
sediment,n. 沉淀物
scaffolding,n. 支架
converge,v. 汇聚，趋于一致
reaction,n. 反应
meteorology,n. 气象学
modernize,v. 使现代化
symbolization,n. 符号化
renewable,adj. 可再生的
indirect,adj. 间接的
symbolize,v. 象征
wool,n. 羊毛
processor,n. 处理器，处理者
exit,v. 离开；n. 出口
skeletal,adj. 骨骼的
kiln,n. 窑
entrench,v. 根深蒂固
appreciation,n. 欣赏，理解
unprecedented,adj. 空前的
timely,adj. 及时的
exclude,v. 排除
embody,v. 包括
lettuce,n. 生菜
verb,n. 动词
optical,adj. 光学的，视觉的
bottom,n. 底部，末位；adj. 最下面的
shun,v. 避开
sedge,n. 莎草
initially,adv. 起初
release,v. 释放，发布；n. 释放
Paleolithic,adj. 旧石器时代的；n. 旧石器时代
sacred,adj. 神圣的
redo,v. 重做，重新装饰
snowshoe,n. 雪鞋
muted,adj. 无声的
diver,n. 潜水员
jointed,adj. 有关节的
compilation,n. 汇编
spear,n. 矛；v. 用矛刺
yearly,adj. 一年的；adv. 每年
meager,adj. 贫乏的
permafrost,adj. 永冻土层
salinity,n. 盐度
concentrated,adj. 浓缩的
analogue,n. 类似物，类似的人
clutter,v. 把…弄的乱七八糟；n. 杂乱的东西
folktale,n. 民间故事
browse,n. 放牧，嫩叶；v. 放牧
negotiate,v. 谈判
chorus,n. 合唱队
mammalian,adj. 哺乳动物的
overstate,v. 夸大
introductory,adj. 介绍的
setting,n. 环境
journalism,n. 新闻业，新闻报道
trained,adj. 受过训练的
generic,adj. 普通的
determine,v. 查明，决定
pitch,n. 音高；v. 为…定音高
extraction,n. 开采
healthful,adj. 有益健康的
deceptive,adj. 欺骗性的
treatment,n. 对待
sac,n. 囊
materialize,v. 实现
propose,v. 提出
ghostly,adj. 像鬼似的
elongate,v. 变长
index,n. 指数，索引
breakdown,n. 分解
biochemistry,n. 生物化学
memoir,n. 回忆录
distribute,v. 分散，分配
consequently,adv. 因此
prince,n. 王子
combination,n. 组合
gazette,n. 报刊
crowded,adj. 拥挤的
blaze,v. 熊熊燃烧
eve,n. 前夕
aural,adj. 听觉的
portable,adj. 便于携带的
sift,v. 筛
adorn,v. 装饰
mating,n. 交配
corrode,v. 腐蚀
governmental,adj. 政府的
manipulation,n. 操纵
perceptual,adj. 感知的
weed,n. 野草
pelvis,n. 骨盆
concentrate,v. 聚焦，集中，使…浓缩
hieroglyph,n. 象形文字
blur,v. 使模糊不清
fluctuation,n. 波动
violator,n. 违反者
voraciously,adv. 狼吞虎咽地
encase,v. 包住
venue,n. 聚集地点
woodblock,n. 木刻印版
cheek,n. 面颊
extrinsically,adv. 外在地
origin,n. 起源，起点
descriptive,adj. 描写的
eruption,n. 喷发
superiority,n. 优越性
midnight,n. 午夜
anticipate,v. 预料
monologue,n. 独白
bulk,n. 大块，大量，大部分
initiate,v. 开始，使...加入
repurpose,v. 变换意图
royal,adj. 皇家的
anatomy,n. 解剖，(动植物的）结构
camouflage,v. 伪装；n. 伪装
natal,adj. 出生的
prairie,n. 大草原
restrict,v. 限制
correlate,v. 相关联
prominently,adv. 重要地，显著的
volcanically,adv. 火山似地，猛烈地
restlessness,n. 焦躁不安
milestone,n. 里程碑
byline,n. 署名行
reappearance,n. 再现
saber,n. 佩剑
benchmark,n. 基准
junk,n. 垃圾
exportable,adj. 可出口的
creativity,n. 创造性
orbit,n. 轨道；v. 绕…运行
parabolic,adj. 抛物线的
regularity,n. 规律性，整齐
rhinoceros,n. 犀牛
immunization,n. 免疫
similarity,n. 相似
varied,adj. 各种各样的
processed,adj. 加工过的
broker,n. 代理人
abnormalitiy,n. 异常特征
novel,adj. 新颖的；n. 小说
escalation,n. 增加
fighter,n. 斗士
distasteful,adj. 令人反感的
tire,n. 轮胎
dump,n. 垃圾场 ；v. 倾倒
measurement,n. 测量
applicable,adj. 可应用的
enclosure,n. 围场
saturated,adj. 浸透的
satellite,n. 卫星
disclaimer,n. 免责声明
sardine,n. 沙丁鱼
audience,n. 观众
unnecessary,adj. 不必要的
namely,adv. 即
fund,n. 资金；v. 为…提供资金
unusable,adj. 不能用的
angiosperm,n. 被子植物
buck,n. 雄兽 [尤指鹿，羊，兔]
consolidation,n. 合并，巩固
envision,v. 想象
firsthand,adv. 直接地
sunspot,n. 太阳黑子
formulate,v. 构想
monitor,v. 监控
relativity,n. 相对性
peel,v. 剥皮，削
exert,v. 施加
mathematician,n. 数学家
larval,adj. 幼虫的
variable,adj. 变化无常的；n. 变量
scanty,adj. 缺乏的
lean,v. 使倾斜；adj. 瘦的，精简的
vole,n. 田鼠
govern,v. 统治，决定
spelling,n. 拼写
civilian,n. 平民
lottery,n. 抽彩，碰运气的事
volunteer,n. 志愿者；v. 志愿去做
guide,n. 指示；v. 指导
improvement,n. 改善
justified,adj. 有正当理由的
theatron,n. 观众区
eater,n. 食者
geochemical,adj. 地球化学的
mall,n. 购物中心
replenish,v. 补充
employment,n. 雇用
charged,adj. 带电的
quantify,v. 量化
blank,adj. 空白的；n. 空白表格；v. 突然空白
signing,n. 签署
frontier,adj. 边境的；n. 边境
antique,n. 古董
diminish,v. 削弱，减少
philosophy,n. 哲学，思想
heroism,n. 英勇精神
persist,v. 持续
peculiar,adj. 特有的，奇怪的
peculiarity,n. 特性
consistent,adj. 连贯一致的
bicycle,n. 自行车
wreck,n. 残骸
deepen,v. 深化
cohesively,adv. 团结地
ruthless,adj. 无情的
informational,adj. 信息的
tune,v. 调音
percentage,n. 百分比，比例
altered,adj. 改变了的
flooring,n. 地板
prelude,n. 序幕
longitude,n. 经度
broken,adj. 破碎的，折断的
mammal,n. 哺乳动物
damage,n. 破坏；v. 破坏
defect,adj. 瑕疵
claw,n. 爪子
durability,n. 耐用
peninsula,n. 半岛
unemployment,n. 失业
deed,n. 契约，英勇事迹
professionalism,n. 职业化
chameleon,n. 变色龙
fully,adv. 完全地，彻底地
chromosome,n. 染色体
differential,n. 级差
nitrous,adj. 含氮的
unskilled,adj .不熟练的
fashion,n. 方式
syntax,n. 句法
rightly,adv. 正确地，恰当地
demographic,adj. 人口学的
populate,v. 居住于
etiquette,n. 礼节
urbanite,n. 城市居民
ecology,n. 生态，生态学
portage,v. 转到陆上运输
aestivation,n. 夏蛰
resume,v. 恢复，重新开始
leather,n. 皮革；adj. 皮革的
conceptualize,v. 将…概念化
lantern,n. 灯笼
kidney,n. 肾
metallic,adj. 金属的
unfold,v. 展现
hospitable,adj. 有利的
centigrade,n. 摄氏温标
elite,n. 社会精英
community,n. 群落，社区
extension,n. 扩展，延长部分
mammoth,n. 猛犸
clipping,n. 剪下物
squeak,n. 吱吱声
dignity,n. 自尊
imbalance,n. 不平衡
shred,v. 撕碎
drill,v. 钻孔；n. 钻，[农具]条播机
overjoyed,adj. 欣喜若狂的
lease,n. 租约；v. 出租
counseling,n. 咨询
newsletter,n. 时事通讯
downplay,v. 对...轻描淡写
German,adj. 德国的，德国人的
ward,v. 避开
advertisement,n. 广告
irregular,adj. 不规则的，无规律的
firmly,adv. 牢固地
graduation,n. 毕业，毕业典礼
pasturage,n. 牧场
stagecraft,n. 舞台表演技艺
frequent,adj. 频繁的
tremendously,adv. 非常
generalizable,adj. 可概括的
emotional,adj. 情感的
volcanism,n. 火山作用
loose,adj. 松散的
conceal,v. 隐藏
bark,n. 树皮，咆哮；v. 咆哮
tulip,n. 郁金香
Atlantic,adj. 大西洋的；n. 大西洋
prolific,adj. 多产的
thesis,n. 论文，论点
scramble,v. 爬
underneath,prep. 在…下面；adv. 在下面
collection,n. 一群，收集
pigmentation,n. 染色，天然颜色
venous,adj. 静脉的
viewer,n. 观者
exhaust,v. 耗尽
electromagnetic,adj. 电磁的
boulevard,n. 大道
fit,v. 适合，安装 ；n. 适合；adj. 适合的
leadership,n. 领导
practical,adj. 实际的
hypothetical,adj. 假设的
wave,n. 波浪，一阵
homeland,n. 祖国
spawn,v. 造成，产卵
occurrence,n. 发生，出现
mutant,n. 突变体
Indian,n. 印第安人；adj. 印度的
registered,adj. 注册的
steadily,adv. 逐步地
landlocked,adj. 陆围的
turtle,n. 龟
emphasis,n. 重要性
painstaking,adj. 辛勤的
impoverished,adj. 贫瘠的
uninformed,adj. 信息不足的，情况不明的
midcontinental,adj. 大陆中部的
mentality,n. 心态
dominate,v. 处于支配地位
investor,n. 投资者
fishing,n. 捕鱼
bounce,v. 反弹，反射
planetarium,n. 天文馆
dolphin,n. 海豚
obsidian,n. 黑曜岩
inception,n. 开始
excavator,n. 发掘者
expense,n. 代价，费用
burst,n. 爆发；v. 爆炸
startle,v. 使吃惊
curse,n. 诅咒
maze,n. 迷宫
Pluto,n. 冥王星
progression,n. 发展
gifted,adj. 有天赋的
parasitic,adj. 寄生的
assistant,n. 助手，助教
bother,v. 打扰，使烦恼
typical,adj. 典型的
procedure,n. 程序
figurative,adj. 具象的
trickle,n. 细流
synaptic,adj. 概要的
confirmation,n. 确认
oscillation,n. 振荡
patch,n. 小片；v. 打补丁
sludge,n. 烂泥状物质
outlandish,adj. 古怪的
impose,v. 将…强加于人
enforcer,n. 实施者
humiliate,v. 羞辱
lip,n. 嘴唇
repeatedly,adv. 反复地
shared,adj. 共享的
voracious,adj. 贪婪的
preapproval,n .预核准
penicillin,n. 青霉素
membrane,n. 膜
visibility,n. 能见度
superfluous,adj. 多余的
attainment,n. 获取
rotational,adj. 旋转的
dynamics,n. 动态
ease,n. 容易；v. 减轻
prejudice,n .偏见
needy,adj. 贫穷的
ironic,adj. 讽刺的
sharp,adj. 尖的 ，鲜明的 ，骤然的
superorganism,n. 超级生物体
dramatic,adj. 戏剧的，突发的
efficacy,n. 功效
virtually,adv. 几乎
demographics,n. 人口特征
stripe,n. 条纹
booklet,n. 小册子
reflexive,adj. 反射的
undated,adj. 未标日期的，无限期的
pour,v. 倒
relocate,v. 迁移
herd,n. 兽群；v. 放牧
sewage,n. 污水
advanced,adj. 高级的，先进的
percussive,adj. 敲击的
inform,v. 通知
tusk,n. 象等动物的长牙
textbook,n. 课本；adj. 规范的
concern,n. 担心，令人关切的事物；v. 担忧，与…有关
flexibility,n. 灵活性
devotion,n. 忠诚
physical,adj. 物质的，身体的，物理的
presumably,adv. 大概
fecund,adj. 多产的
deceased,adj. 亡故的
religious,adj. 宗教的
crop,n. 庄稼；v. 在…上播种，收割，裁切
artificial,adj. 人造的
signature,n. 鲜明特征，签名
plush,adj. 长毛绒的
unknowingly,adv. 不知不觉地
loaf,v. 混日子
nester,n. 筑巢鸟
placement,n. 放置
tertiary,adj. 第三纪的
moral,n. 道德，寓意；adj. 道德的
alkaline,adj. 碱性的
chieftain,n. 酋长
productively,adv. 有成效地，有结果地
inquire,v. 询问，打听
compacted,adj. 紧密的
shipbuilding,n. 造船
persuade,v. 说服
culminate,v. 告终
depict,v. 描画
attempt,v. 企图；n. 企图
scared,adj. 害怕的
prime,adj. 首要的，最合适的，最好的
renter,n. 租户
tester,n. 测试员
spiritual,adj. 精神的，宗教的
freezing,n. 冰点；adj. 极冷的
familiarize,v. 使熟悉
tumble,v. 做空翻动作
empirical,adj. 以经验为依据的
altruistic,adj. 无私的
foundation,n. 基础，地基
convinced,adj. 确信的
boiler,v. 锅炉
recycled,adj. 回收的，循环利用的
minimization,n. 最小化
clump,v. 聚拢；n. 丛
evil,adj. 邪恶的
expenditure,n. 消耗
payment,n. 付款
buzzer,n. 蜂鸣器
interplay,n. 相互作用
breathing,n. 呼吸
sculptural,adj. 雕塑的
cane,n. 甘蔗
liter,n. 升
nanotechnology,n. 纳米技术
rivalry,n. 竞争行为
roomy,adj. 宽敞的
ascend,v. 攀升
dinnertime,n. 正餐时间
hybridization,n. 杂交
nitrogen,n. 氮
rehearsed,adj. 排演好的
gymnastic,adj. 体操的
strand,n. 缕
